,price,price_per_m,postal_code,location,type,area,room
689,299 000,2 990 ,21200, Beaune (Madeleine),Maison,100,4
690,172 000,172 0,34080, Montpellier (Croix d'Argent),Appartement,40,2
691,299 000,2 265 ,21800, Sennecey-lès-Dijon,Maison,132,7
692,195 000,3 104 ,21200, Beaune (Maladière),Maison,63,4
693,630 000,14k ,06000, Nice (Carré d'or),Appartement,43,3
694,175 600,1 908 ,63200, Riom (Centre-ville),Appartement,92,4
695,375 000,4 167 ,69400, Porte des Pierres Dorées,Maison,90,5
696,132 000,1 211 ,23000, Guéret (Centre-ville - La Rodde - Champegaud),Maison,109,5
697,80 000,1 231 ,63100, Clermont-Ferrand (Croix de Neyrat),Appartement,65,3
698,60 000,857 ,23000, Guéret (Centre-ville - La Rodde - Champegaud),Appartement,70,3
699,449 500,5 568 ,92130, Issy-les-Moulineaux (Les Epinettes - Le Fort - Les Hauts d'Issy),Appartement,78,3
700,106 000,1 683 ,87270, Couzeix,Appartement,63,3
701,179 990,2 399 ,78370, Plaisir (Ebisoires),Appartement,72,3
702,72 000,1 588 ,87000, Limoges (Centre-ville - Hôtel de Ville - Emailleurs),Appartement,45,2
703,155 000,2 818 ,38300, Bourgoin-Jallieu (L'Oiselet - La Maladière - La Grive),Appartement,55,3
704,114 000,114 0,47000, Agen (Les Pins - Henri Barbusse),Appartement,51,3
705,4 700 000,"16,4k ",06230, Villefranche-sur-Mer,Maison,286,8
706,800 000,800 0,75015, Paris 15e (Alleray - Procession),Appartement,90,4
707,389 000,4 863 ,33000, Bordeaux (Saint-Pierre),Appartement,80,3
708,69 900,1 485 ,47200, Marmande (Le Bedat),Appartement,47,2
709,320 000,2 025 ,38130, Échirolles (Village - La Commanderie),Maison,158,7
710,55 000,1 197 ,24100, Bergerac (Clairat - L'Alba - Les Costes),Appartement,46,2
711,140 000,2 917 ,63610, Besse-et-Saint-Anastaise,Appartement,48,4
712,395 000,395 0,01330, Villars-les-Dombes,Maison,176,7
713,158 000,2 144 ,01000, Bourg-en-Bresse (Grande Reyssouze - Grand Challes),Appartement,70,2
714,76 000,241 ,52190, Cusey,Maison,315,2
715,199 000,943 ,21510, Aignay-le-Duc,Maison,211,6
716,249 000,958 ,52000, Chaumont (Centre-ville - Faubourg),Maison,260,7
717,299 000,"11,8k ",06190, Roquebrune-Cap-Martin (Cabbé - Saint-Roman - Roquebrune),Appartement,25,1
718,419 000,419 0,22380, Saint-Cast-le-Guildo,Maison,194,6
719,247 300,3 637 ,34750, Villeneuve-lès-Maguelone,Appartement,68,3
720,118 000,1 683 ,47200, Marmande (Lolya),Maison,70,3
721,449 500,5 568 ,92130, Issy-les-Moulineaux (Les Epinettes - Le Fort - Les Hauts d'Issy),Appartement,78,4
722,53 000,707 ,23000, Guéret (Centre-ville - La Rodde - Champegaud),Appartement,75,3
723,87 000,1 726 ,42153, Riorges,Appartement,50,3
724,66 000,1 535 ,87000, Limoges (Centre-ville - Hôtel de Ville - Emailleurs),Appartement,43,2
